  cust  |  prod  | quant 
 Mia    | Dates  |   810
 Sam    | Jelly  |   395
 Boo    | Dates  |   403
 Dan    | Ham    |   890
 Dan    | Fish   |   986
 Chae   | Ice    |   447
 Emily  | Ham    |   200
 Helen  | Grapes |   205
 Sam    | Eggs   |   276
 Chae   | Grapes |    52
 Wally  | Ham    |   322
 Dan    | Butter |   491
 Sam    | Ham    |   834
 Chae   | Grapes |   771
 Helen  | Jelly  |   783
 Emily  | Cherry |   560
 Mia    | Ice    |   642
 Claire | Grapes |   288
 Claire | Apple  |   314
 Emily  | Eggs   |   233
 Sam    | Jelly  |   145
 Wally  | Grapes |   157
 Boo    | Eggs   |   410
 Boo    | Apple  |   142
 Sam    | Grapes |   535
 Emily  | Ham    |   895
 Wally  | Fish   |   153
 Chae   | Fish   |   624
 Claire | Butter |   938
 Wally  | Jelly  |   695
 Claire | Fish   |   636
 Sam    | Dates  |   726
 Boo    | Apple  |   879
 Emily  | Ham    |   152
 Emily  | Dates  |   481
 Mia    | Eggs   |    81
 Wally  | Eggs   |   744
 Wally  | Ham    |   156
 Dan    | Grapes |   615
 Claire | Cherry |     6
 Helen  | Dates  |   648
 Emily  | Fish   |   190
 Wally  | Ice    |   141
 Boo    | Dates  |   794
 Claire | Dates  |     5
 Wally  | Eggs   |   658
 Claire | Eggs   |    75
 Emily  | Eggs   |   464
 Dan    | Ice    |   491
 Emily  | Eggs   |   550
 Mia    | Butter |   759
 Claire | Ham    |   949
 Helen  | Eggs   |   268
 Emily  | Fish   |    71
 Dan    | Fish   |    77
 Chae   | Butter |   565
 Claire | Apple  |   776
 Boo    | Jelly  |   896
 Sam    | Cherry |   909
 Sam    | Cherry |   800
 Emily  | Dates  |   187
 Emily  | Ham    |   495
 Boo    | Grapes |   998
 Wally  | Cherry |   828
 Boo    | Eggs   |   609
 Mia    | Ham    |   894
 Chae   | Apple  |   900
 Boo    | Ice    |   977
 Emily  | Eggs   |   957
 Sam    | Ham    |   517
 Mia    | Grapes |    72
 Mia    | Cherry |   627
 Boo    | Apple  |   575
 Boo    | Jelly  |   498
 Dan    | Ham    |   893
 Claire | Dates  |   779
 Dan    | Ham    |   515
 Mia    | Jelly  |   519
 Mia    | Jelly  |   371
 Claire | Grapes |   654
 Emily  | Ham    |   339
 Wally  | Jelly  |   689
 Mia    | Eggs   |   431
 Wally  | Apple  |   130
 Chae   | Dates  |   488
 Boo    | Apple  |   849
 Claire | Eggs   |   719
 Mia    | Grapes |   595
 Helen  | Ice    |   165
 Claire | Butter |   727
 Dan    | Cherry |   923
 Chae   | Eggs   |   691
 Helen  | Grapes |   746
 Chae   | Dates  |   829
 Wally  | Fish   |   307
 Wally  | Cherry |   145
 Sam    | Jelly  |   255
 Helen  | Grapes |    88
 Chae   | Butter |   474
 Helen  | Jelly  |   976
 Emily  | Jelly  |   592
 Mia    | Dates  |   510
 Sam    | Dates  |   532
 Dan    | Ice    |   340
 Claire | Butter |   338
 Boo    | Dates  |   962
 Helen  | Dates  |    12
 Emily  | Ice    |   858
 Chae   | Eggs   |   432
 Claire | Fish   |   849
 Wally  | Cherry |    53
 Wally  | Grapes |   524
 Dan    | Eggs   |   851
 Claire | Butter |    33
 Wally  | Butter |   824
 Sam    | Ice    |   898
 Dan    | Ham    |   911
 Dan    | Cherry |   159
 Dan    | Eggs   |   911
 Mia    | Jelly  |   284
 Wally  | Butter |   593
 Chae   | Fish   |   762
 Wally  | Ham    |   882
 Mia    | Eggs   |   881
 Chae   | Eggs   |   595
 Dan    | Ham    |   104
 Mia    | Apple  |   779
 Mia    | Grapes |   258
 Chae   | Cherry |   596
 Wally  | Fish   |   637
 Chae   | Ham    |    31
 Dan    | Ham    |   946
 Helen  | Butter |   614
 Dan    | Jelly  |   422
 Dan    | Grapes |   557
 Claire | Ham    |   349
 Helen  | Butter |   832
 Mia    | Fish   |   258
 Sam    | Grapes |   225
 Chae   | Fish   |   184
 Boo    | Ice    |   348
 Claire | Eggs   |    20
 Emily  | Grapes |   818
 Helen  | Grapes |   113
 Boo    | Jelly  |   741
 Boo    | Butter |   724
 Boo    | Jelly  |    98
 Mia    | Apple  |   609
 Claire | Ice    |   606
 Boo    | Cherry |   816
 Sam    | Fish   |   899
 Dan    | Apple  |   840
 Helen  | Dates  |   950
 Emily  | Butter |   927
 Claire | Fish   |   913
 Dan    | Cherry |   271
 Wally  | Eggs   |   212
 Chae   | Jelly  |   330
 Mia    | Jelly  |   903
 Claire | Fish   |   330
 Dan    | Dates  |   451
 Boo    | Cherry |   123
 Mia    | Grapes |   735
 Chae   | Ham    |   692
 Dan    | Apple  |   403
 Helen  | Eggs   |   308
 Dan    | Ham    |   729
 Helen  | Fish   |   345
 Mia    | Apple  |    90
 Chae   | Dates  |   957
 Wally  | Grapes |   984
 Helen  | Ham    |   296
 Dan    | Cherry |   835
 Helen  | Cherry |   659
 Boo    | Dates  |   631
 Emily  | Butter |   471
 Helen  | Ham    |   128
 Helen  | Jelly  |   943
 Helen  | Ice    |   183
 Mia    | Fish   |   916
 Chae   | Ham    |   960
 Helen  | Jelly  |    77
 Boo    | Butter |   959
 Helen  | Ham    |   487
 Wally  | Jelly  |   734
 Wally  | Eggs   |   982
 Sam    | Apple  |   467
 Sam    | Cherry |   514
 Helen  | Fish   |   971
 Sam    | Eggs   |   485
 Chae   | Apple  |   981
 Emily  | Grapes |   253
 Wally  | Ham    |   898
 Chae   | Ice    |   324
 Emily  | Jelly  |   600
 Wally  | Ham    |   441
 Wally  | Dates  |   587
 Chae   | Butter |   456
 Chae   | Eggs   |   774
 Chae   | Jelly  |   298
 Claire | Eggs   |   353
 Dan    | Dates  |   487
 Wally  | Cherry |   430
 Wally  | Ice    |   318
 Helen  | Apple  |   967
 Sam    | Jelly  |    19
 Wally  | Dates  |   834
 Boo    | Grapes |   412
 Chae   | Ice    |   102
 Dan    | Apple  |   580
 Helen  | Cherry |   546
 Helen  | Cherry |   218
 Mia    | Grapes |   550
 Mia    | Fish   |   547
 Emily  | Butter |   156
 Boo    | Cherry |   748
 Chae   | Ice    |   904
 Dan    | Apple  |   228
 Mia    | Butter |   370
 Wally  | Jelly  |   803
 Wally  | Dates  |   617
 Dan    | Ham    |   389
 Claire | Butter |   992
 Chae   | Ham    |   521
 Wally  | Eggs   |   809
 Helen  | Grapes |   841
 Helen  | Apple  |   713
 Emily  | Butter |   259
 Helen  | Fish   |   699
 Chae   | Dates  |   747
 Claire | Grapes |   738
 Claire | Ice    |   400
 Chae   | Eggs   |   343
 Dan    | Eggs   |   792
 Boo    | Ham    |   676
 Mia    | Ice    |   684
 Helen  | Butter |   952
 Sam    | Cherry |   201
 Helen  | Jelly  |   247
 Helen  | Grapes |   422
 Boo    | Ham    |   382
 Chae   | Apple  |   126
 Mia    | Jelly  |   969
 Claire | Grapes |   595
 Mia    | Eggs   |   874
 Dan    | Grapes |   621
 Claire | Cherry |   733
 Claire | Grapes |   521
 Mia    | Jelly  |   528
 Boo    | Ice    |   744
 Helen  | Eggs   |   845
 Boo    | Cherry |   580
 Sam    | Eggs   |   258
 Chae   | Cherry |   655
 Boo    | Butter |   983
 Helen  | Butter |   418
 Helen  | Jelly  |   397
 Boo    | Grapes |   550
 Boo    | Eggs   |   307
 Boo    | Ice    |   880
 Mia    | Ham    |    54
 Mia    | Ham    |   902
 Emily  | Butter |   448
 Wally  | Butter |   974
 Sam    | Dates  |   698
 Sam    | Apple  |   957
 Claire | Ice    |   228
 Dan    | Butter |   454
 Chae   | Dates  |   874
 Helen  | Ice    |   235
 Emily  | Cherry |   239
 Mia    | Eggs   |   244
 Sam    | Grapes |   890
 Boo    | Apple  |    47
 Dan    | Grapes |   694
 Helen  | Fish   |   731
 Boo    | Cherry |   948
 Boo    | Ice    |   950
 Wally  | Ice    |   591
 Claire | Cherry |   792
 Wally  | Cherry |   778
 Wally  | Ham    |   668
 Wally  | Apple  |   446
 Sam    | Butter |   404
 Claire | Grapes |   162
 Wally  | Eggs   |   151
 Helen  | Grapes |   677
 Mia    | Grapes |   912
 Emily  | Butter |   495
 Boo    | Jelly  |   699
 Emily  | Apple  |    81
 Dan    | Dates  |    21
 Mia    | Eggs   |   232
 Sam    | Ham    |   321
 Chae   | Grapes |   787
 Helen  | Cherry |   606
 Chae   | Grapes |   539
 Dan    | Fish   |   929
 Helen  | Butter |   291
 Claire | Dates  |   967
 Wally  | Butter |   480
 Wally  | Grapes |   987
 Claire | Grapes |   326
 Dan    | Eggs   |   744
 Dan    | Cherry |   510
 Mia    | Ham    |   244
 Dan    | Dates  |   462
 Emily  | Cherry |   325
 Sam    | Ice    |    72
 Dan    | Grapes |   863
 Dan    | Ice    |   630
 Boo    | Cherry |   382
 Sam    | Apple  |   348
 Claire | Grapes |   508
 Claire | Cherry |   947
 Chae   | Dates  |   264
 Boo    | Ice    |   352
 Sam    | Eggs   |   270
 Sam    | Fish   |   409
 Dan    | Eggs   |   335
 Dan    | Eggs   |   813
 Claire | Butter |   201
 Emily  | Cherry |   627
 Boo    | Eggs   |   676
 Wally  | Jelly  |   655
 Sam    | Eggs   |   987
 Emily  | Fish   |    76
 Boo    | Butter |   623
 Mia    | Ice    |   958
 Claire | Cherry |   781
 Chae   | Fish   |   275
 Helen  | Butter |   740
 Sam    | Grapes |   525
 Chae   | Grapes |   914
 Emily  | Dates  |   308
 Sam    | Grapes |   160
 Sam    | Ice    |   649
 Wally  | Grapes |   254
 Boo    | Ice    |   701
 Dan    | Ice    |   533
 Emily  | Butter |   552
 Boo    | Apple  |   211
 Sam    | Grapes |   775
 Claire | Apple  |    69
 Chae   | Butter |     3
 Boo    | Cherry |   492
 Claire | Butter |   747
 Wally  | Grapes |   686
 Mia    | Apple  |   910
 Helen  | Eggs   |     7
 Emily  | Eggs   |   688
 Helen  | Grapes |   194
 Dan    | Jelly  |   683
 Claire | Apple  |   190
 Claire | Eggs   |   538
 Emily  | Dates  |   886
 Boo    | Dates  |   886
 Claire | Grapes |   871
 Chae   | Jelly  |   440
 Emily  | Ham    |   253
 Chae   | Ice    |   259
 Dan    | Dates  |   359
 Wally  | Eggs   |   935
 Boo    | Jelly  |   335
 Boo    | Fish   |   720
 Emily  | Butter |   688
 Chae   | Cherry |   715
 Sam    | Ham    |   115
 Mia    | Butter |   122
 Dan    | Jelly  |   645
 Mia    | Fish   |   445
 Helen  | Fish   |   977
 Wally  | Fish   |   750
 Dan    | Dates  |    66
 Dan    | Dates  |   343
 Claire | Cherry |   175
 Helen  | Butter |   443
 Mia    | Eggs   |    25
 Emily  | Eggs   |   333
 Mia    | Fish   |   918
 Sam    | Ice    |   286
 Claire | Eggs   |   405
 Boo    | Dates  |  1000
 Chae   | Ice    |   595
 Boo    | Eggs   |   600
 Mia    | Eggs   |   645
 Claire | Grapes |   485
 Chae   | Dates  |   575
 Emily  | Dates  |   992
 Boo    | Jelly  |   859
 Emily  | Butter |   412
 Emily  | Ham    |    59
 Emily  | Jelly  |   386
 Dan    | Dates  |   113
 Emily  | Eggs   |   378
 Helen  | Grapes |   890
 Sam    | Ham    |   343
 Dan    | Apple  |   845
 Claire | Jelly  |   797
 Wally  | Fish   |   741
 Mia    | Cherry |   991
 Boo    | Jelly  |   662
 Sam    | Jelly  |   384
 Chae   | Grapes |   845
 Wally  | Apple  |   264
 Dan    | Fish   |   277
 Chae   | Apple  |   642
 Boo    | Eggs   |   196
 Wally  | Eggs   |   660
 Chae   | Apple  |   746
 Sam    | Apple  |    50
 Emily  | Grapes |   535
 Helen  | Dates  |   451
 Dan    | Dates  |   584
 Sam    | Grapes |   450
 Helen  | Dates  |   289
 Helen  | Butter |   727
 Mia    | Dates  |   776
 Claire | Fish   |   431
 Dan    | Cherry |    70
 Dan    | Fish   |   903
 Emily  | Cherry |   710
 Chae   | Ham    |   500
 Claire | Apple  |   550
 Wally  | Fish   |   662
 Mia    | Butter |   170
 Boo    | Cherry |   691
 Mia    | Jelly  |   399
 Wally  | Fish   |   205
 Chae   | Fish   |   535
 Sam    | Jelly  |   807
 Chae   | Grapes |   157
 Dan    | Apple  |   611
 Sam    | Ice    |   913
 Dan    | Jelly  |   583
 Dan    | Dates  |   937
 Helen  | Dates  |   600
 Helen  | Jelly  |   390
 Sam    | Apple  |   909
 Helen  | Fish   |   943
 Sam    | Dates  |   537
 Mia    | Ice    |   968
 Chae   | Ice    |   980
 Claire | Grapes |   174
 Helen  | Cherry |   387
 Mia    | Ice    |   797
 Emily  | Apple  |   248
 Boo    | Ham    |    43
 Helen  | Cherry |   298
 Helen  | Ham    |   221
 Sam    | Jelly  |   949
 Wally  | Fish   |   812
 Claire | Grapes |   815
 Emily  | Dates  |   870
 Wally  | Ice    |   673
 Emily  | Jelly  |   131
 Dan    | Ham    |   356
 Claire | Eggs   |   229
 Wally  | Grapes |    26
 Sam    | Ice    |   319
 Chae   | Fish   |   859
 Mia    | Ice    |   151
 Mia    | Eggs   |   491
 Emily  | Ham    |    21
 Mia    | Cherry |   258
 Emily  | Eggs   |   626
 Helen  | Fish   |   458
 Sam    | Ham    |    71
 Wally  | Butter |   611
 Claire | Grapes |   932
 Boo    | Eggs   |   450
 Dan    | Butter |   757
 Dan    | Eggs   |   122
 Helen  | Ice    |   407
 Helen  | Jelly  |    90
 Boo    | Dates  |   115
 Sam    | Apple  |    84
 Claire | Apple  |   874
 Wally  | Ice    |    15
 Dan    | Dates  |   683
 Dan    | Fish   |   676
 Helen  | Ice    |   350
 Mia    | Apple  |   821
 Helen  | Apple  |   947
 Claire | Grapes |   225
 Chae   | Fish   |   154
 Emily  | Ham    |   113
 Dan    | Cherry |   834
 Wally  | Butter |   635
 Helen  | Fish   |     9
 Wally  | Cherry |   531
 Chae   | Apple  |   423
 Dan    | Cherry |    10
 Mia    | Dates  |   638
 Mia    | Jelly  |    99
 Helen  | Fish   |    21
 Emily  | Apple  |   910
 Wally  | Ice    |   568
 Sam    | Butter |   457
 Dan    | Apple  |   272
 Helen  | Eggs   |   356
 Emily  | Ice    |   175
 Boo    | Jelly  |   609
 Emily  | Ice    |   664
 Mia    | Ham    |   525
 Dan    | Grapes |   650
 Helen  | Fish   |   999
 Chae   | Cherry |   759
 Helen  | Dates  |   551
 Dan    | Grapes |   842
 Dan    | Apple  |   393
 Chae   | Ham    |   357
 Sam    | Ice    |   576
 Sam    | Cherry |   922
 Chae   | Butter |    31
 Claire | Grapes |   323
 Emily  | Dates  |   246
 Chae   | Ham    |   211
 Boo    | Ham    |   223
 Dan    | Eggs   |   474
 Emily  | Eggs   |   198
 Sam    | Grapes |   476
 Dan    | Grapes |    72
 Mia    | Fish   |    80
 Helen  | Ham    |   616
 Emily  | Butter |   983
 Chae   | Fish   |   593
 Chae   | Ham    |   455
 Claire | Fish   |    27
 Emily  | Ham    |   586
 Helen  | Apple  |   499
 Boo    | Butter |   412
 Helen  | Cherry |   551
 Boo    | Grapes |   953
 Mia    | Ham    |    67
 Dan    | Dates  |   603
 Helen  | Jelly  |   866
 Mia    | Jelly  |   976
 Dan    | Ice    |   590
 Chae   | Ice    |   105
 Chae   | Eggs   |   155
 Sam    | Grapes |   678
 Chae   | Grapes |   186
 Dan    | Eggs   |   656
 Mia    | Dates  |   609
 Emily  | Butter |   345
 Boo    | Dates  |   129
 Wally  | Apple  |   800
 Emily  | Ham    |   694
 Mia    | Jelly  |   685
 Dan    | Cherry |     5
 Mia    | Ice    |   420
 Dan    | Cherry |   879
 Claire | Ice    |   298
 Claire | Eggs   |   612
 Wally  | Ham    |   108
 Chae   | Eggs   |   887
 Sam    | Dates  |   628
 Chae   | Ice    |   702
 Emily  | Eggs   |   243
 Mia    | Dates  |   222
 Helen  | Fish   |   282
 Emily  | Ice    |   679
 Emily  | Jelly  |   953
 Claire | Butter |   853
 Boo    | Apple  |   378
 Claire | Dates  |   200
 Sam    | Cherry |   196
 Claire | Ice    |   894
 Helen  | Eggs   |   997
 Boo    | Ice    |   180
 Helen  | Eggs   |   325
 Chae   | Apple  |   884
 Sam    | Fish   |   506
 Sam    | Ham    |   434
 Claire | Butter |   846
 Helen  | Ham    |   842
 Chae   | Fish   |   443
 Chae   | Grapes |   711
 Emily  | Apple  |   135
 Emily  | Apple  |   202
 Emily  | Grapes |   478
 Dan    | Ham    |   768
 Claire | Eggs   |   508
 Claire | Eggs   |   390
 Wally  | Jelly  |   866
 Sam    | Grapes |   528
 Dan    | Ice    |   605
 Claire | Ice    |   177
 Dan    | Fish   |   421
 Dan    | Jelly  |   996
 Chae   | Fish   |   193
 Mia    | Ham    |   120
 Chae   | Dates  |    76
 Chae   | Cherry |   426
 Emily  | Jelly  |   237
 Claire | Ham    |    82
 Sam    | Jelly  |   309
 Emily  | Ice    |   570
 Sam    | Butter |   537
 Claire | Eggs   |   934
 Helen  | Apple  |   436
 Dan    | Grapes |   343
 Mia    | Apple  |   754
 Boo    | Eggs   |   525
 Mia    | Dates  |   464
 Wally  | Dates  |   356
 Dan    | Apple  |   852
 Mia    | Apple  |   165
 Boo    | Dates  |   208
 Emily  | Ham    |   795
 Dan    | Cherry |   122
 Chae   | Cherry |   356
 Helen  | Apple  |   879
 Claire | Apple  |   254
 Dan    | Apple  |   911
 Mia    | Cherry |   999
 Wally  | Grapes |   797
 Dan    | Dates  |   107
 Emily  | Fish   |   257
 Helen  | Butter |   139
 Wally  | Apple  |    50
 Helen  | Cherry |    33
 Boo    | Eggs   |   188
 Sam    | Eggs   |   370
 Mia    | Jelly  |   122
 Sam    | Fish   |   729
 Helen  | Ice    |   847
 Dan    | Ice    |   724
 Helen  | Dates  |   101
 Wally  | Ice    |   949
 Claire | Ice    |   576
 Mia    | Eggs   |   552
 Dan    | Ham    |    86
 Wally  | Fish   |   149
 Wally  | Ham    |   745
 Boo    | Ice    |   400
 Boo    | Apple  |   999
 Sam    | Butter |   449
 Dan    | Fish   |    98
 Chae   | Jelly  |     8
 Dan    | Grapes |   473
 Emily  | Butter |    44
 Dan    | Jelly  |   249
 Emily  | Eggs   |   903
 Dan    | Grapes |   759
 Helen  | Cherry |   775
 Boo    | Ice    |   764
 Boo    | Jelly  |   616
 Emily  | Cherry |   225
 Helen  | Apple  |   857
 Dan    | Ham    |   421
 Chae   | Ice    |   131
 Wally  | Cherry |    67
 Dan    | Jelly  |   899
 Dan    | Ham    |   315
 Boo    | Dates  |   946
 Chae   | Jelly  |   268
 Boo    | Dates  |   407
 Mia    | Jelly  |   971
 Chae   | Ice    |   425
 Helen  | Ice    |   410
 Emily  | Butter |   555
 Boo    | Ham    |   497
 Wally  | Eggs   |   775
 Emily  | Apple  |   501
 Chae   | Ham    |   720
 Chae   | Ice    |   426
 Sam    | Eggs   |   885
 Dan    | Dates  |    19
 Sam    | Dates  |   504
 Boo    | Ham    |   822
 Wally  | Cherry |   417
 Wally  | Eggs   |    31
 Dan    | Apple  |   664
 Wally  | Eggs   |   929
 Sam    | Cherry |    68
 Emily  | Eggs   |   214
 Mia    | Fish   |   832
 Chae   | Ham    |   290
 Dan    | Apple  |   487
 Sam    | Eggs   |   802
 Claire | Jelly  |   358
 Mia    | Jelly  |   311
 Boo    | Eggs   |    52
 Boo    | Ham    |   183
 Sam    | Butter |   431
 Emily  | Apple  |   545
 Sam    | Ham    |   767
 Emily  | Fish   |   115
 Chae   | Apple  |    68
 Claire | Cherry |   505
 Sam    | Jelly  |   940
 Wally  | Cherry |   168
 Claire | Grapes |   161
 Claire | Butter |   392
 Wally  | Jelly  |   947
 Chae   | Apple  |    47
 Claire | Dates  |   880
 Sam    | Fish   |   716
 Helen  | Fish   |   742
 Chae   | Dates  |   520
 Helen  | Grapes |   486
 Boo    | Grapes |   945
 Mia    | Dates  |   496
 Dan    | Fish   |   389
 Chae   | Jelly  |   595
 Mia    | Eggs   |     8
 Sam    | Dates  |   581
 Chae   | Dates  |   972
 Helen  | Apple  |   539
 Emily  | Cherry |   965
 Dan    | Ice    |   382
 Dan    | Ice    |   671
 Sam    | Grapes |   993
 Wally  | Eggs   |   399
 Mia    | Butter |     4
 Emily  | Jelly  |   825
 Claire | Butter |   585
 Wally  | Eggs   |   322
 Chae   | Ice    |   528
 Emily  | Butter |   917
 Claire | Eggs   |   494
 Helen  | Ice    |   358
 Helen  | Apple  |   471
 Claire | Apple  |   548
 Sam    | Grapes |   711
 Chae   | Cherry |   624
 Helen  | Grapes |   418
 Dan    | Butter |   862
 Boo    | Butter |   756
 Dan    | Ice    |   640
 Helen  | Jelly  |   349
 Claire | Fish   |   509
 Chae   | Eggs   |   811
 Sam    | Cherry |   404
 Boo    | Butter |   726
 Claire | Ham    |   430
 Helen  | Fish   |   915
 Emily  | Fish   |   987
 Dan    | Cherry |   713
 Claire | Jelly  |   748
 Mia    | Dates  |   193
 Helen  | Butter |   825
 Chae   | Ice    |   472
 Mia    | Ham    |   646
 Chae   | Ham    |   745
 Wally  | Grapes |   481
 Emily  | Fish   |   456
 Boo    | Grapes |   317
 Emily  | Grapes |   209
 Claire | Apple  |   229
 Helen  | Apple  |   820
 Chae   | Dates  |   287
 Chae   | Grapes |   144
 Wally  | Apple  |   102
 Chae   | Grapes |   269
 Mia    | Eggs   |   866
 Wally  | Fish   |   534
 Boo    | Ice    |   195
 Dan    | Jelly  |   641
 Wally  | Eggs   |    54
 Emily  | Ham    |   319
 Emily  | Jelly  |   826
 Dan    | Fish   |   692
 Mia    | Ice    |   156
 Mia    | Eggs   |   702
 Helen  | Ham    |   527
 Helen  | Ice    |   551
 Sam    | Eggs   |   980
 Claire | Fish   |   932
 Emily  | Eggs   |   256
 Mia    | Dates  |     6
 Wally  | Ham    |   693
 Boo    | Dates  |   764
 Boo    | Eggs   |   448
 Boo    | Dates  |   164
 Chae   | Fish   |   429
 Boo    | Apple  |   670
 Claire | Fish   |   885
 Mia    | Butter |   657
 Emily  | Butter |   314
 Emily  | Butter |   529
 Helen  | Fish   |   182
 Wally  | Butter |   508
 Mia    | Dates  |    73
 Wally  | Butter |   993
 Chae   | Ice    |    75
 Emily  | Apple  |   367
 Helen  | Eggs   |   169
 Mia    | Butter |   323
 Chae   | Fish   |   882
 Claire | Fish   |   180
 Sam    | Ham    |   452
 Dan    | Butter |   958
 Wally  | Cherry |   525
 Sam    | Grapes |   418
 Mia    | Ice    |   700
 Mia    | Jelly  |   730
 Boo    | Fish   |   424
 Mia    | Butter |   953
 Sam    | Ice    |   297
 Helen  | Ham    |   767
 Wally  | Ham    |    53
 Helen  | Dates  |    45
 Chae   | Fish   |   381
 Mia    | Cherry |   616
 Mia    | Eggs   |   899
 Mia    | Eggs   |   298
 Dan    | Dates  |   133
 Dan    | Ham    |    51
 Emily  | Fish   |   310
 Chae   | Cherry |   452
 Boo    | Cherry |   928
 Mia    | Jelly  |   328
 Wally  | Butter |    99
 Helen  | Fish   |   475
 Helen  | Grapes |    28
 Dan    | Dates  |   282
 Dan    | Cherry |   590
 Emily  | Fish   |   974
 Mia    | Ham    |   263
 Helen  | Ham    |   683
 Dan    | Jelly  |   686
 Chae   | Cherry |   928
 Mia    | Grapes |   139
 Chae   | Dates  |   862
 Helen  | Ice    |   357
 Emily  | Butter |   578
 Emily  | Grapes |   950
 Sam    | Eggs   |   638
 Chae   | Eggs   |   181
 Mia    | Apple  |   152
 Helen  | Butter |   444
 Chae   | Ham    |   466
 Mia    | Dates  |   919
